,companyName,securityName,website,name,nickname
BK,The Bank of New York Mellon Corp.,Bank of New York Mellon Corporation,bnymellon,Bank of New York Mellon,Bank
BKNG,"Booking Holdings, Inc.",Booking Holdings Inc.,bookingholdings,Booking Holdings,Booking
BLK,"BlackRock, Inc.","BlackRock, Inc.",blackrock,BlackRock,BlackRock
BLL,Ball Corp.,Ball Corporation,ball,Ball,Ball
BMY,Bristol-Myers Squibb Co.,Bristol-Myers Squibb Company,bms,Bristol-Myers Squibb,Bristol-Myers
BR,"Broadridge Financial Solutions, Inc.","Broadridge Financial Solutions, Inc.",broadridge,Broadridge Financial Solutions,Broadridge
BRK.B,"Berkshire Hathaway, Inc.",Berkshire Hathaway Inc. Class B,berkshirehathaway,Berkshire Hathaway,Berkshire
BSX,Boston Scientific Corp.,Boston Scientific Corporation,bostonscientific,Boston Scientific,Boston
BWA,"BorgWarner, Inc.",BorgWarner Inc.,borgwarner,BorgWarner,BorgWarner
BXP,"Boston Properties, Inc.","Boston Properties, Inc.",bostonproperties,Boston Properties,Boston
C,"Citigroup, Inc.",Citigroup Inc.,citigroup,Citigroup,Citigroup
CAG,"Conagra Brands, Inc.","Conagra Brands, Inc.",conagrabrands,Conagra Brands,Conagra
CAH,"Cardinal Health, Inc.","Cardinal Health, Inc.",cardinalhealth,Cardinal Health,Cardinal
CAT,"Caterpillar, Inc.",Caterpillar Inc.,caterpillar,Caterpillar,Caterpillar
CB,Chubb Ltd.,Chubb Limited,chubb,Chubb,Chubb
CBOE,"Cboe Global Markets, Inc.",Cboe Global Markets Inc,cboe,Cboe Global Markets,Cboe
CBRE,"CBRE Group, Inc.","CBRE Group, Inc. Class A",cbre,CBRE Group,CBRE
CBS,CBS Corp.,CBS Corporation Class B,cbscorporation,CBS,CBS
CCI,Crown Castle International Corp.,Crown Castle International Corp,crowncastle,Crown Castle International,Crown
CCL,Carnival Corp.,Carnival Corporation,carnivalcorp,Carnival,Carnival
CDNS,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.",cadence,Cadence Design Systems,Cadence
CE,Celanese Corp.,Celanese Corporation,celanese,Celanese,Celanese
CELG,Celgene Corp.,Celgene Corporation,celgene,Celgene,Celgene
CERN,Cerner Corp.,Cerner Corporation,cerner,Cerner,Cerner
CF,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc.",cfindustries,CF Industries Holdings,CF
CFG,"Citizens Financial Group, Inc. (Rhode Island)","Citizens Financial Group, Inc.",citizensbank,Citizens Financial Group,Citizens
CHD,"Church & Dwight Co., Inc.","Church & Dwight Co., Inc.",churchdwight,Church & Dwight,Church
CHRW,"C.H. Robinson Worldwide, Inc.","C.H. Robinson Worldwide, Inc.",chrobinson,C.H. Robinson Worldwide,C.H.
CHTR,"Charter Communications, Inc.","Charter Communications, Inc. Class A",charter,Charter Communications,Charter
CI,Cigna Corp.,Cigna Corporation,cigna,Cigna,Cigna
CINF,Cincinnati Financial Corp.,Cincinnati Financial Corporation,cinfin,Cincinnati Financial,Cincinnati
CL,Colgate-Palmolive Co.,Colgate-Palmolive Company,colgate,Colgate-Palmolive,Colgate-Palmolive
CLX,The Clorox Co.,Clorox Company,thecloroxcompany,Clorox,Clorox
CMA,"Comerica, Inc.",Comerica Incorporated,comerica,Comerica,Comerica
CMCSA,Comcast Corp.,Comcast Corporation Class A,comcast,Comcast,Comcast
CME,"CME Group, Inc.",CME Group Inc. Class A,cmegroup,CME Group,CME
CMG,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc.",chipotle,Chipotle Mexican Grill,Chipotle
CMI,"Cummins, Inc.",Cummins Inc.,cummins,Cummins,Cummins
CMS,CMS Energy Corp.,CMS Energy Corporation,cmsenergy,CMS Energy,CMS
CNC,Centene Corp.,Centene Corporation,centene,Centene,Centene
CNP,"CenterPoint Energy, Inc.","CenterPoint Energy, Inc.",centerpointenergy,CenterPoint Energy,CenterPoint
COF,Capital One Financial Corp.,Capital One Financial Corporation,capitalone,Capital One Financial,Capital
COG,Cabot Oil & Gas Corp.,Cabot Oil & Gas Corporation,cabotog,Cabot Oil & Gas,Cabot
COO,"The Cooper Cos., Inc.","Cooper Companies, Inc.",coopercos,Cooper Cos.,Cooper
COP,ConocoPhillips,ConocoPhillips,conocophillips,ConocoPhillips,ConocoPhillips
COST,Costco Wholesale Corp.,Costco Wholesale Corporation,costco,Costco Wholesale,Costco
COTY,"Coty, Inc.",Coty Inc. Class A,coty,Coty,Coty
CPB,Campbell Soup Co.,Campbell Soup Company,campbellsoupcompany,Campbell Soup,Campbell
CPRI,Capri Holdings Ltd.,Capri Holdings Limited,com,Capri Holdings,Capri
CPRT,"Copart, Inc.","Copart, Inc.",copart,Copart,Copart
CRM,"salesforce.com, inc.","salesforce.com, inc.",salesforce,"salesforce.com, inc.","salesforce.com,"
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc.",cisco,Cisco Systems,Cisco
CSX,CSX Corp.,CSX Corporation,csx,CSX,CSX
CTAS,Cintas Corp.,Cintas Corporation,cintas,Cintas,Cintas
CTL,"CenturyLink, Inc.","CenturyLink, Inc.",centurylink,CenturyLink,CenturyLink
CTSH,Cognizant Technology Solutions Corp.,Cognizant Technology Solutions Corporation Class A,cognizant,Cognizant Technology Solutions,Cognizant
CTVA,"Corteva, Inc.",Corteva Inc,corteva,Corteva,Corteva
CTXS,"Citrix Systems, Inc.","Citrix Systems, Inc.",citrix,Citrix Systems,Citrix
CVS,CVS Health Corp.,CVS Health Corporation,cvshealth,CVS Health,CVS
CVX,Chevron Corp.,Chevron Corporation,chevron,Chevron,Chevron
CXO,"Concho Resources, Inc.",Concho Resources Inc.,concho,Concho Resources,Concho
D,"Dominion Energy, Inc.",Dominion Energy Inc,dominionenergy,Dominion Energy,Dominion
DAL,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",delta,Delta Air Lines,Delta
DD,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc.",dupont,DuPont de Nemours,DuPont
DE,Deere & Co.,Deere & Company,deere,Deere,Deere
DFS,Discover Financial Services,Discover Financial Services,discoverfinancial,Discover Financial Services,Discover
DG,Dollar General Corp.,Dollar General Corporation,dollargeneral,Dollar General,Dollar General
DGX,"Quest Diagnostics, Inc.",Quest Diagnostics Incorporated,questdiagnostics,Quest Diagnostics,Quest
DHI,"D.R. Horton, Inc.","D.R. Horton, Inc.",drhorton,D.R. Horton,D.R.
DHR,Danaher Corp.,Danaher Corporation,danaher,Danaher,Danaher
DIS,The Walt Disney Co.,Walt Disney Company,thewaltdisneycompany,Walt Disney,Walt
DISCA,"Discovery, Inc.","Discovery, Inc. Class A",discovery,Discovery,Discovery
DISCK,"Discovery, Inc.","Discovery, Inc. Class C",discovery,Discovery,Discovery
DISH,DISH Network Corp.,DISH Network Corporation Class A,dish,DISH Network,DISH
DLR,"Digital Realty Trust, Inc.","Digital Realty Trust, Inc.",digitalrealty,Digital Realty Trust,Digital
DLTR,"Dollar Tree, Inc.","Dollar Tree, Inc.",dollartreeinfo,Dollar Tree,Dollar Tree
DOV,Dover Corp.,Dover Corporation,dovercorporation,Dover,Dover
DOW,"Dow, Inc.","Dow, Inc.",dow,Dow,Dow
DRE,Duke Realty Corp.,Duke Realty Corporation,dukerealty,Duke Realty,Duke
DRI,"Darden Restaurants, Inc.","Darden Restaurants, Inc.",darden,Darden Restaurants,Darden
DTE,DTE Energy Co.,DTE Energy Company,dteenergy,DTE Energy,DTE
DUK,Duke Energy Corp.,Duke Energy Corporation,duke-energy,Duke Energy,Duke
DVA,"DaVita, Inc.",DaVita Inc.,davita,DaVita,DaVita
DVN,Devon Energy Corp.,Devon Energy Corporation,devonenergy,Devon Energy,Devon
DXC,DXC Technology Co.,DXC Technology Co.,dxc,DXC Technology,DXC
EA,"Electronic Arts, Inc.",Electronic Arts Inc.,ea,Electronic Arts,Electronic
EBAY,"eBay, Inc.",eBay Inc.,ebayinc,eBay,eBay
ECL,"Ecolab, Inc.",Ecolab Inc.,ecolab,Ecolab,Ecolab
ED,"Consolidated Edison, Inc.","Consolidated Edison, Inc.",conedison,Consolidated Edison,Consolidated
EFX,"Equifax, Inc.",Equifax Inc.,equifax,Equifax,Equifax
EIX,Edison International,Edison International,edison,Edison International,Edison
EL,"The Estée Lauder Companies, Inc.",Estee Lauder Companies Inc. Class A,elcompanies,Estée Lauder Companies,Estée
EMN,Eastman Chemical Co.,Eastman Chemical Company,eastman,Eastman Chemical,Eastman
EMR,Emerson Electric Co.,Emerson Electric Co.,emerson,Emerson Electric,Emerson
EOG,"EOG Resources, Inc.","EOG Resources, Inc.",eogresources,EOG Resources,EOG
EQIX,"Equinix, Inc.","Equinix, Inc.",equinix,Equinix,Equinix
EQR,Equity Residential,Equity Residential,equityapartments,Equity Residential,Equity Residential
ES,Eversource Energy,Eversource Energy,eversource,Eversource Energy,Eversource
ESS,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",essex,Essex Property Trust,Essex
ETFC,E*TRADE Financial Corp.,E*TRADE Financial Corporation,etrade,E*TRADE Financial,E*TRADE
ETN,Eaton Corp. Plc,Eaton Corp. Plc,eaton,Eaton Corp.,Eaton
ETR,Entergy Corp.,Entergy Corporation,entergy,Entergy,Entergy
EVRG,"Evergy, Inc.","Evergy, Inc.",evergyinc,Evergy,Evergy
EW,Edwards Lifesciences Corp.,Edwards Lifesciences Corporation,edwards,Edwards Lifesciences,Edwards
EXC,Exelon Corp.,Exelon Corporation,exeloncorp,Exelon,Exelon
EXPD,"Expeditors International of Washington, Inc.","Expeditors International of Washington, Inc.",expeditors,Expeditors International of Washington,Expeditors
EXPE,"Expedia Group, Inc.","Expedia Group, Inc.",expediagroup,Expedia Group,Expedia
EXR,"Extra Space Storage, Inc.",Extra Space Storage Inc.,extraspace,Extra Space Storage,Extra Space
F,Ford Motor Co.,Ford Motor Company,ford,Ford Motor,Ford
FANG,"Diamondback Energy, Inc.","Diamondback Energy, Inc.",diamondbackenergy,Diamondback Energy,Diamondback
FAST,Fastenal Co.,Fastenal Company,fastenal,Fastenal,Fastenal
FB,"Facebook, Inc.","Facebook, Inc. Class A",facebook,Facebook,Facebook
FBHS,"Fortune Brands Home & Security, Inc.","Fortune Brands Home & Security, Inc.",fbhs,Fortune Brands Home & Security,Fortune
FCX,"Freeport-McMoRan, Inc.","Freeport-McMoRan, Inc.",fcx,Freeport-McMoRan,Freeport-McMoRan
FDX,FedEx Corp.,FedEx Corporation,fedex,FedEx,FedEx
FE,FirstEnergy Corp.,FirstEnergy Corp.,firstenergycorp,FirstEnergy,FirstEnergy
FFIV,"F5 Networks, Inc.","F5 Networks, Inc.",f5,F5 Networks,F5
FIS,"Fidelity National Information Services, Inc.","Fidelity National Information Services, Inc.",fisglobal,Fidelity National Information Services,Fidelity
FISV,"Fiserv, Inc.","Fiserv, Inc.",fiserv,Fiserv,Fiserv
FITB,Fifth Third Bancorp,Fifth Third Bancorp,53,Fifth Third Bancorp,Fifth
FLIR,"FLIR Systems, Inc.","FLIR Systems, Inc.",flir,FLIR Systems,FLIR
FLS,Flowserve Corp.,Flowserve Corporation,flowserve,Flowserve,Flowserve
FLT,"FleetCor Technologies, Inc.","FleetCor Technologies, Inc.",fleetcor,FleetCor Technologies,FleetCor
FMC,FMC Corp.,FMC Corporation,fmc,FMC,FMC
FOX,Fox Corp.,Fox Corporation Class B,foxcorporation,Fox,Fox
FOXA,Fox Corp.,Fox Corporation Class A,foxcorporation,Fox,Fox
FRC,"First Republic Bank (San Francisco, California)",First Republic Bank,firstrepublic,"First Republic Bank (San Francisco, California)",First
FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,federalrealty,Federal Realty Investment Trust,Federal
FTI,TechnipFMC Plc,TechnipFMC Plc,com,TechnipFMC,TechnipFMC
FTNT,"Fortinet, Inc.","Fortinet, Inc.",fortinet,Fortinet,Fortinet
FTV,Fortive Corp.,Fortive Corp.,fortive,Fortive,Fortive
GD,General Dynamics Corp.,General Dynamics Corporation,generaldynamics,General Dynamics,General
GE,General Electric Co.,General Electric Company,ge,General Electric,General
GILD,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",gilead,Gilead Sciences,Gilead
GIS,"General Mills, Inc.","General Mills, Inc.",generalmills,General Mills,General
GL,"Globe Life, Inc.",Globe Life Inc.,torchmarkcorp,Globe Life,Globe
GLW,"Corning, Inc.",Corning Inc,corning,Corning,Corning
GM,General Motors Co.,General Motors Company,gm,General Motors,General
GOOG,"Alphabet, Inc.",Alphabet Inc. Class C,xyz,Alphabet,Alphabet
GOOGL,"Alphabet, Inc.",Alphabet Inc. Class A,xyz,Alphabet,Alphabet
GPC,Genuine Parts Co.,Genuine Parts Company,genpt,Genuine Parts,Genuine
GPN,"Global Payments, Inc.",Global Payments Inc.,globalpaymentsinc,Global Payments,Global
GPS,"Gap, Inc.","Gap, Inc.",gapinc,Gap,Gap
GRMN,Garmin Ltd.,Garmin Ltd.,garmin,Garmin,Garmin
GS,"The Goldman Sachs Group, Inc.","Goldman Sachs Group, Inc.",goldmansachs,Goldman Sachs Group,Goldman
GWW,"W.W. Grainger, Inc.","W.W. Grainger, Inc.",grainger,W.W. Grainger,W.W.
HAL,Halliburton Co.,Halliburton Company,halliburton,Halliburton,Halliburton
HAS,"Hasbro, Inc.","Hasbro, Inc.",hasbro,Hasbro,Hasbro
HBAN,"Huntington Bancshares, Inc.",Huntington Bancshares Incorporated,huntington,Huntington Bancshares,Huntington
HBI,"Hanesbrands, Inc.",Hanesbrands Inc.,hanes,Hanesbrands,Hanesbrands
HCA,"HCA Healthcare, Inc.",HCA Healthcare Inc,hcahealthcare,HCA Healthcare,HCA
HCP,"HCP, Inc.","HCP, Inc.",hcpi,HCP,HCP
HD,"The Home Depot, Inc.","Home Depot, Inc.",homedepot,Home Depot,Home
HES,Hess Corp.,Hess Corporation,hess,Hess,Hess
HFC,HollyFrontier Corp.,HollyFrontier Corporation,hollyfrontier,HollyFrontier,HollyFrontier
HIG,"The Hartford Financial Services Group, Inc.","Hartford Financial Services Group, Inc.",thehartford,Hartford Financial Services Group,Hartford
HII,"Huntington Ingalls Industries, Inc.","Huntington Ingalls Industries, Inc.",huntingtoningalls,Huntington Ingalls Industries,Huntington
HLT,"Hilton Worldwide Holdings, Inc.",Hilton Worldwide Holdings Inc,hiltonworldwide,Hilton Worldwide Holdings,Hilton
HOG,"Harley-Davidson, Inc.","Harley-Davidson, Inc.",harley-davidson,Harley-Davidson,Harley-Davidson
HOLX,"Hologic, Inc.","Hologic, Inc.",hologic,Hologic,Hologic
HON,"Honeywell International, Inc.",Honeywell International Inc.,honeywell,Honeywell International,Honeywell
HP,"Helmerich & Payne, Inc.","Helmerich & Payne, Inc.",hpinc,Helmerich & Payne,Helmerich
HPE,Hewlett-Packard Enterprise Co.,Hewlett Packard Enterprise Co.,hpe,Hewlett-Packard Enterprise,Hewlett-Packard
HPQ,"HP, Inc.",HP Inc.,hp,HP,HP
HRB,"H&R Block, Inc.","H&R Block, Inc.",hrblock,H&R Block,H&R
HRL,Hormel Foods Corp.,Hormel Foods Corporation,hormelfoods,Hormel Foods,Hormel
HSIC,"Henry Schein, Inc.","Henry Schein, Inc.",henryschein,Henry Schein,Henry
HST,"Host Hotels & Resorts, Inc.","Host Hotels & Resorts, Inc.",hosthotels,Host Hotels & Resorts,Host
HSY,The Hershey Co.,Hershey Company,thehersheycompany,Hershey,Hershey
HUM,"Humana, Inc.",Humana Inc.,humana,Humana,Humana
IBM,International Business Machines Corp.,International Business Machines Corporation,ibm,International Business Machines,International
ICE,"Intercontinental Exchange, Inc.","Intercontinental Exchange, Inc.",intercontinentalexchange,Intercontinental Exchange,Intercontinental
IDXX,"IDEXX Laboratories, Inc.","IDEXX Laboratories, Inc.",idexx,IDEXX Laboratories,IDEXX
IEX,IDEX Corp.,IDEX Corporation,idexcorp,IDEX,IDEX
IFF,"International Flavors & Fragrances, Inc.",International Flavors & Fragrances Inc.,iff,International Flavors & Fragrances,International
ILMN,"Illumina, Inc.","Illumina, Inc.",illumina,Illumina,Illumina
INCY,Incyte Corp.,Incyte Corporation,incyte,Incyte,Incyte
INFO,IHS Markit Ltd.,IHS Markit Ltd.,ihsmarkit,IHS Markit,IHS
INTC,Intel Corp.,Intel Corporation,intel,Intel,Intel
INTU,"Intuit, Inc.",Intuit Inc.,intuit,Intuit,Intuit
IP,International Paper Co.,International Paper Company,internationalpaper,International Paper,International
IPG,"Interpublic Group of Cos., Inc.","Interpublic Group of Companies, Inc.",interpublic,Interpublic Group of Cos.,Interpublic
IPGP,IPG Photonics Corp.,IPG Photonics Corporation,ipgphotonics,IPG Photonics,IPG
IQV,"IQVIA Holdings, Inc.",IQVIA Holdings Inc,iqvia,IQVIA Holdings,IQVIA
IR,Ingersoll-Rand Plc,Ingersoll-Rand Plc,ingersoll-rand,Ingersoll-Rand,Ingersoll-Rand
IRM,"Iron Mountain, Inc.","Iron Mountain, Inc.",ironmountain,Iron Mountain,Iron
ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",intuitivesurgical,Intuitive Surgical,Intuitive
IT,"Gartner, Inc.","Gartner, Inc.",gartner,Gartner,Gartner
ITW,"Illinois Tool Works, Inc.",Illinois Tool Works Inc.,itw,Illinois Tool Works,Illinois
IVZ,Invesco Ltd.,Invesco Ltd.,invesco,Invesco,Invesco
JBHT,"J.B. Hunt Transport Services, Inc.","J.B. Hunt Transport Services, Inc.",jbhunt,J.B. Hunt Transport Services,J.B.
JCI,Johnson Controls International Plc,Johnson Controls International plc,johnsoncontrols,Johnson Controls International,Johnson
JEC,"Jacobs Engineering Group, Inc.",Jacobs Engineering Group Inc.,jacobs,Jacobs Engineering Group,Jacobs
JEF,"Jefferies Financial Group, Inc.",Jefferies Financial Group Inc.,jefferies,Jefferies Financial Group,Jefferies
JKHY,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc.",jackhenry,Jack Henry & Associates,Jack
JNJ,Johnson & Johnson,Johnson & Johnson,jnj,Johnson & Johnson,Johnson
JNPR,"Juniper Networks, Inc.","Juniper Networks, Inc.",juniper,Juniper Networks,Juniper
JPM,JPMorgan Chase & Co.,JPMorgan Chase & Co.,jpmorganchase,JPMorgan Chase,JPMorgan
JWN,"Nordstrom, Inc.","Nordstrom, Inc.",nordstrom,Nordstrom,Nordstrom
K,Kellogg Co.,Kellogg Company,kelloggcompany,Kellogg,Kellogg
KEY,KeyCorp,KeyCorp,key,KeyCorp,KeyCorp
KEYS,"Keysight Technologies, Inc.",Keysight Technologies Inc,keysight,Keysight Technologies,Keysight
KHC,The Kraft Heinz Co.,Kraft Heinz Company,kraftheinzcompany,Kraft Heinz,Kraft
KIM,Kimco Realty Corp.,Kimco Realty Corporation,kimcorealty,Kimco Realty,Kimco
KLAC,KLA Corp.,KLA Corporation,kla-tencor,KLA,KLA
KMB,Kimberly-Clark Corp.,Kimberly-Clark Corporation,kimberly-clark,Kimberly-Clark,Kimberly-Clark
KMI,"Kinder Morgan, Inc.",Kinder Morgan Inc Class P,kindermorgan,Kinder Morgan,Kinder
KMX,"CarMax, Inc.","CarMax, Inc.",carmax,CarMax,CarMax
KO,The Coca-Cola Co.,Coca-Cola Company,coca-colacompany,Coca-Cola,Coca-Cola
KR,The Kroger Co.,Kroger Co.,kroger,Kroger,Kroger
KSS,Kohl's Corp.,Kohl's Corporation,kohls,Kohl's,Kohl's
KSU,Kansas City Southern,Kansas City Southern,kcsouthern,Kansas City Southern,Kansas
L,Loews Corp.,Loews Corporation,loews,Loews,Loews
LB,"L Brands, Inc.","L Brands, Inc.",lb,L Brands,L
LDOS,"Leidos Holdings, Inc.","Leidos Holdings, Inc.",leidos,Leidos Holdings,Leidos
LEG,"Leggett & Platt, Inc.","Leggett & Platt, Incorporated",leggett,Leggett & Platt,Leggett
LEN,Lennar Corp.,Lennar Corporation Class A,lennar,Lennar,Lennar
LH,Laboratory Corp. of America Holdings,Laboratory Corporation of America Holdings,labcorp,Laboratory Corp. of America,Laboratory
LHX,"L3Harris Technologies, Inc.",L3Harris Technologies Inc,l3harris,L3Harris Technologies,L3Harris
LIN,Linde Plc,Linde plc,lindeplc,Linde,Linde
LKQ,LKQ Corp.,LKQ Corporation,lkqcorp,LKQ,LKQ
LLY,Eli Lilly & Co.,Eli Lilly and Company,lilly,Eli Lilly,Eli
LMT,Lockheed Martin Corp.,Lockheed Martin Corporation,lockheedmartin,Lockheed Martin,Lockheed
LNC,Lincoln National Corp.,Lincoln National Corporation,lfg,Lincoln National,Lincoln
LNT,Alliant Energy Corp.,Alliant Energy Corp,alliantenergy,Alliant Energy,Alliant
LOW,"Lowe's Cos., Inc.","Lowe's Companies, Inc.",lowes,Lowe's Cos.,Lowe's
LRCX,Lam Research Corp.,Lam Research Corporation,lamresearch,Lam Research,Lam
LUV,Southwest Airlines Co.,Southwest Airlines Co.,southwest,Southwest Airlines,Southwest
LW,"Lamb Weston Holdings, Inc.","Lamb Weston Holdings, Inc.",lambweston,Lamb Weston Holdings,Lamb
LYB,LyondellBasell Industries NV,LyondellBasell Industries NV,com,LyondellBasell Industries NV,LyondellBasell
M,"Macy's, Inc.",Macy's Inc,macysinc,Macy's,Macy's
MA,"Mastercard, Inc.",Mastercard Incorporated Class A,mastercard,Mastercard,Mastercard
MAA,"Mid-America Apartment Communities, Inc.","Mid-America Apartment Communities, Inc.",maac,Mid-America Apartment Communities,Mid-America
MAC,Macerich Co.,Macerich Company,macerich,Macerich,Macerich
